"STA","Station Name","Elevation","Latitude","Longitude","Nearby City","Hydro #","Basin #","Owner","Maintenance","Operator","Map #","Collect #","County Name","Basin Name","Agency Name","Hydro Area","Sensors"
"BGP","BIG PINE CREEK","9800","37.127815246582","-118.47696685791","BIG PINE","9","11001","702","702","702","999","0","INYO","OWENS RIVER","CA Dept of Water Resources/DFM-Hydro-SMN","SOUTH LAHONTAN","3,4,9,10,12,14,18,82"
"BIP","BISHOP PARK","8400","37.238","-118.597","BISHOP","9","11001","999","999","999","26","0","INYO","OWENS RIVER",".None Specified","SOUTH LAHONTAN","3,18,82"
"BIS","BISHOP","4140","37.35","-118.4","BISHOP","9","11001","999","999","71","26","0","INYO","OWENS RIVER","City of Los Angeles; Dept of Water and Power","SOUTH LAHONTAN","2"
"BLF","BULLFROG LAKE","10650","36.77","-118.398",,"7","9401","999","999","1","32","0","FRESNO","KINGS RIVER","CA Dept of Water Resources","TULARE LAKE","3,18,82"
"BNH","BENCH LAKE","10600","36.958","-118.445",,"7","9401","999","999","91","32","0","FRESNO","KINGS RIVER","Kings River Water Association","TULARE LAKE","3,18,82"
"BP1","BIG PINE CREEK 1","10000","37.125","-118.483","BIG PINE","9","11001","999","999","71","26","0","INYO","OWENS RIVER","City of Los Angeles; Dept of Water and Power","SOUTH LAHONTAN","3,18,82"
"BP2","BIG PINE CREEK 2","9700","37.127","-118.47","BIG PINE","9","11001","999","999","71","26","0","INYO","OWENS RIVER","City of Los Angeles; Dept of Water and Power","SOUTH LAHONTAN","3,18,82"
"BP3","BIG PINE CREEK 3","9800","37.128","-118.475","BIG PINE","9","11001","999","999","71","26","0","INYO","OWENS RIVER","City of Los Angeles; Dept of Water and Power","SOUTH LAHONTAN","3,18,82"
"BPN","BIG PINE PH 3","4680","37.126","-118.323","BIG PINE","9","11001","999","999","999","26","0","INYO","OWENS RIVER",".None Specified","SOUTH LAHONTAN","2"
"BSH","BISHOP PASS","11200","37.1","-118.557","BISHOP","7","9401","702","702","702","26","0","FRESNO","KINGS RIVER","CA Dept of Water Resources/DFM-Hydro-SMN","TULARE LAKE","2,3,4,9,10,12,14,18,30,31,32,82,246,247"
"BSP","BISHOP LAKE","11300","37.123","-118.545","BISHOP","9","11001","999","999","1","26","0","INYO","OWENS RIVER","CA Dept of Water Resources","SOUTH LAHONTAN","3,18,82"
"BTN","BENTON","5450","37.843","-118.478",,"9","11001","3","3","3","26","0","MONO","OWENS RIVER","CA Dept of Forestry and Fire Protection","SOUTH LAHONTAN","2,4,9,10,12,13,14,26,30,31,32,77,78"
"CLT","CHARLOTTE RIDGE","10700","36.77","-118.415",,"7","9401","999","999","1","32","0","FRESNO","KINGS RIVER","CA Dept of Water Resources","TULARE LAKE","3,18,82"
"CMM","CAMPITO MOUNTAIN","10200","37.497","-118.173","BISHOP","9","11001","999","999","999","26","0","INYO","OWENS RIVER",".None Specified","SOUTH LAHONTAN","3,18,82"
