STATION_ID,DURATION,SENSOR_NUMBER,SENS_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
HWE,M,15,STORAGE,1996-01-01 00:00,1996-01-31 00:00,"33,560",,AF
HWE,M,15,STORAGE,1996-02-01 00:00,1996-02-29 00:00,"30,600",,AF
HWE,M,15,STORAGE,1996-03-01 00:00,1996-03-31 00:00,"31,230",,AF
HWE,M,15,STORAGE,1996-04-01 00:00,1996-04-30 00:00,"24,440",,AF
HWE,M,15,STORAGE,1996-05-01 00:00,1996-05-29 00:00,"32,390",,AF
HWE,M,15,STORAGE,1996-06-01 00:00,1996-06-28 00:00,"33,560",,AF
HWE,M,15,STORAGE,1996-07-01 00:00,1996-07-29 00:00,"31,090",,AF
HWE,M,15,STORAGE,1996-08-01 00:00,1996-08-01 00:00,"29,780",,AF
HWE,M,15,STORAGE,1996-09-01 00:00,1996-09-01 00:00,"28,500",,AF
HWE,M,15,STORAGE,1996-10-01 00:00,1996-10-01 00:00,"27,420",,AF
HWE,M,15,STORAGE,1996-11-01 00:00,1996-11-01 00:00,"30,780",,AF
HWE,M,15,STORAGE,1996-12-01 00:00,1996-12-01 00:00,"28,030",,AF
HWE,M,15,STORAGE,1997-01-01 00:00,1997-01-01 00:00,"31,130",,AF
HWE,M,15,STORAGE,1997-02-01 00:00,1997-02-01 00:00,"27,300",,AF
HWE,M,15,STORAGE,1997-03-01 00:00,1997-03-01 00:00,"21,060",,AF
HWE,M,15,STORAGE,1997-04-01 00:00,1997-04-01 00:00,"24,060",,AF
HWE,M,15,STORAGE,1997-05-01 00:00,1997-05-01 00:00,"29,350",,AF
HWE,M,15,STORAGE,1997-06-01 00:00,1997-06-01 00:00,"32,520",,AF
HWE,M,15,STORAGE,1997-07-01 00:00,1997-07-01 00:00,"32,540",,AF
HWE,M,15,STORAGE,1997-08-01 00:00,1997-08-01 00:00,"29,720",,AF
HWE,M,15,STORAGE,1997-09-01 00:00,1997-09-01 00:00,"25,580",,AF
HWE,M,15,STORAGE,1997-10-01 00:00,1997-10-01 00:00,"23,640",,AF
HWE,M,15,STORAGE,1997-11-01 00:00,1997-11-01 00:00,"23,120",,AF
HWE,M,15,STORAGE,1997-12-01 00:00,1997-12-01 00:00,"25,380",,AF
HWE,M,15,STORAGE,1998-01-01 00:00,1998-01-01 00:00,"26,920",,AF
HWE,M,15,STORAGE,1998-02-01 00:00,1998-02-01 00:00,"32,900",,AF
